NAMC_ID,NAMC_CODE,NAMC_term,NAMC _term_diacritical,  NAMC _term_DEVANAGARI,short_definition,long_definition,ontology_branches
1,AYU,VYADHI-VINISCAYAH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,diagnostic conditions , ,
2,DIS,VIKARAH,vikāraḥ,विकारः,disease/disorder , ,
3,A,DOSHAVAISHAMYAM,dōṣavaiṣamyam,दोषवैषम्यम्,derangement of dōṣa , ,
4,AA,VATAVYADHIH,vātavyādhiḥ,वातव्याधिः,disorders due to vāta , ,
5,AAA,DOSHAVASTHA (VATA),dōṣāvasthā (vāta),दोषावस्था (वात),morbid state of dōṣa , ,
6,AAA-1,VATASANCAYAH,vātasañcayaḥ,वातसञ्चयः,accumulation of vāta ,"the disorder is characterized by stabdhakōṣṭhatā [impariment of movements of vāta in the kōṣṭha/stagnated bowel movements/paralytic ileus], pūrṇakōṣṭhatā [fullness of abdomen] ",
7,AAA-2,VATAVRUDDHIH,vātavr̥ddhiḥ,वातवृद्धिः,aggravation of vāta ,"the disorder is characterized by vākpāruṣyam [roughness of voice/hoarseness of voice], kārśyaḥ [emaciation], kārṣṇyaḥ [blackish discoloration of body], gātrasphuraṇam [flickering/twitching in various parts of body], uṣṇakāmitā/uṣṇakāmatvam [desire for heat/warmth], nidrānāśaḥ/nidrābhraṁśaḥ [insomnia], alpabalatvam [insufficient /decreased physical strength], gāḍhavarcastvam [thick/compact stool], kampaḥ/gātrakampaḥ [trembling/tremors of body parts], ānāhaḥ [barborygmus with distention], śakr̥dgrahaḥ [obstruction/retension of faeces], balabhraṁśaḥ/balōpaghātaḥ [diminution of physical strength], indriyabhraṁśaḥ/indriyōpaghātaḥ [impairment of sense organs], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], bhramaḥ [giddiness or dizziness], dīnatā/dainyam [timid or apathy], asthiśūlaḥ [pain in the bones], majjāśōṣaḥ [decrease in or dryness of majja (bone marrow)], malasaṅgaḥ [obstruction to passage of feces], ādhmānam [abdominal distension], āṭōpaḥ [gurgling sound of the intestines/barborygmus], saṁjñānāśaḥ [loss of conciousness], mōhaḥ [confusion/delirium], bhayaḥ [fear], śōkaḥ [grief] ",
8,AAA-2.1,VATAPRAKOPAH,vātaprakōpaḥ,वातप्रकोपः,vitiation of vāta ,"the disorder is characterized by sraṁsaḥ [exhaustion/fatigue], bhraṁśaḥ [dislocation/prolapse], vyāsaḥ [expansion/dilatation], saṅgaḥ [obstruction/adherence], bhēdaḥ [breaking type of pain], sādaḥ [exhaustion or tirednes of body], harṣaḥ [horripilation/bristling], tarṣaḥ [dryness of mouth/thirst], kampaḥ [tremors/trembling/shaking], vartaḥ [movement of vāta in opposite direction/circular movement of vāta], cālaḥ [pulsation (chakrapani)], tōdaḥ [pricking pain], vyathā [uneasiness/agitation/feeling of discomfort], cēṣṭā [abnormal movements], kharatvam [roughness], paruṣatvam [roughness in body], viśadatvam [conspicuousness /clear/perceivable], suṣiratvam [porousness/hollowness], aruṇavarṇatā [slight reddish complexion of the body], kaṣāyamukhatvam [astringent taste in mouth], virasamukhatvam [tastelessness/upleasant taste in mouth], śōṣaḥ [dryness/wasting/emaciation], śūlaḥ [sharp type of pain], suptiḥ [numbness/drowsiness], saṁkōcanam [contraction of body parts], stambhanam [stiffness /rigidity], khaṁjatā [limping] ",
9,AAA-2.2,PRANAVATAKOPAH,prāṇavātakōpaḥ,प्राणवातकोपः,vitiated prāṇavāyu ,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough] ",
10,AAA-2.3,UDANAVATAKOPAH,udānavātakōpaḥ,उदानवातकोपः,vitiated udānavāyu ,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck] ",
